dataset,model,sparse_mask_percentage,trial,iou,false_positive_rate
jurkat,StarDist,50,2,0.02023891865738228,6.839081539225477e-05
jurkat,StarDist,50,3,0.03380435608007546,0.0003049376468204522
jurkat,StarDist,50,4,0.2161233709232158,0.000553420429690284
jurkat,StarDist,50,5,0.0,0.0
jurkat,StarDist,50,6,0.0,0.0
jurkat,StarDist,50,7,0.0,0.0
jurkat,StarDist,50,8,0.044728425815784456,0.00026093293574738465
jurkat,StarDist,50,9,0.0,0.0
jurkat,StarDist,70,0,0.0,0.0
jurkat,StarDist,70,1,0.002067532645252291,1.4612228206532723e-05
jurkat,StarDist,70,2,0.0,0.0
jurkat,StarDist,70,3,0.0,0.0
jurkat,StarDist,70,4,0.0031842703127371165,1.011600226489942e-05
jurkat,StarDist,70,5,0.4525455809411044,0.006682555787950762
jurkat,StarDist,70,6,0.4466438453657844,0.00970329488012181
jurkat,StarDist,70,7,0.07597180129720532,0.0005545702974682434
jurkat,StarDist,70,8,0.028940791129959446,0.00022932169392901272
jurkat,StarDist,70,9,2.442998433671551e-07,0.0012025005461973166
jurkat,StarDist,95,0,0.021853472213919412,3.760755935061768e-05
jurkat,StarDist,95,1,0.15966482277582272,0.00019757886512900813
jurkat,StarDist,95,2,0.07486584262730782,0.00014317878250695947
jurkat,StarDist,95,3,0.07430570636223462,0.00013205057269103949
jurkat,StarDist,95,4,0.04172911015680391,0.0007001419386258155
jurkat,StarDist,95,5,0.04203715880414983,9.3910592168585e-05
jurkat,StarDist,95,6,0.0,0.0
jurkat,StarDist,95,7,0.08560230441871992,0.0002193838401930929
jurkat,StarDist,95,8,0.1487003611819039,0.0004358869376959813
jurkat,StarDist,95,9,0.08346353407680705,0.00022306422684860365
macrophage,SparseSeg,50,0,0.23556484343514447,0.010271185246775671
macrophage,SparseSeg,50,1,0.27486375952254016,0.0075181878424667664
macrophage,SparseSeg,50,2,0.2261077185910439,0.011582268524623232
macrophage,SparseSeg,50,3,0.29732376947993405,0.0076017520299563445
macrophage,SparseSeg,50,4,0.19162702652430222,0.015481424411158316
macrophage,SparseSeg,50,5,0.22383191289791027,0.010359509537198273
macrophage,SparseSeg,50,6,0.22138192779468577,0.010624577610524736
macrophage,SparseSeg,50,7,0.25731163952586883,0.008819581408343838
macrophage,SparseSeg,50,8,0.24078660681259795,0.010081148005680805
macrophage,SparseSeg,50,9,0.2793745411570894,0.007976437146825324
macrophage,SparseSeg,70,0,0.1934808041653568,0.014570540401900738
macrophage,SparseSeg,70,1,0.19400954604903656,0.0128656480034006
macrophage,SparseSeg,70,2,0.2648971093738917,0.006963187704493442
