ablation,setting_index,setting,trial,iou,false_positive_rate
feature_group,1,no Structural,4,0.06602528225163692,0.008685942390796801
feature_group,2,no Frequency,0,0.03824313537859209,0.004529611774602702
feature_group,2,no Frequency,1,0.046284236862246066,0.002531233907650339
feature_group,2,no Frequency,2,0.008515020171292607,0.00010703995909094958
feature_group,2,no Frequency,3,0.005142268933825079,3.789919376619659e-05
feature_group,2,no Frequency,4,0.0908537703027793,0.00504285585294284
feature_group,3,no Wiener,0,0.006829109119241353,9.839524045909027e-05
feature_group,3,no Wiener,1,0.040411744286666273,0.0005902822781714036
feature_group,3,no Wiener,2,0.008910320787927604,6.951865331995706e-05
feature_group,3,no Wiener,3,0.020850986145382444,0.00021214377294804463
feature_group,3,no Wiener,4,0.09461610718726313,0.008192713638404887
